,word,totalValue,positive,negative,count
307,julius,0.00812741369009018,-0.02164805866777897,-0.029775472357869148,4
308,wichita,-0.005346883088350296,-0.04172496497631073,-0.036378081887960434,4
309,deflect,-0.050632573664188385,0.03780015558004379,0.08843272924423218,2
310,jacques,0.03291693329811096,0.027061209082603455,-0.00585572374984622,1
311,usedto,0.0,0.0,0.0,1
312,thereto,-0.021021714434027672,-0.004434112459421158,0.016587601974606514,13
313,decoupling,-0.05292924866080284,-0.0024980842135846615,0.05043116584420204,2
314,refurbish,0.010384502820670605,0.01084185391664505,0.00045735089224763215,1
315,andrusand,0.0,0.0,0.0,1
316,serial,-0.01744232326745987,0.0002649588859640062,0.017707282677292824,30
317,malapportioning,0.0,0.0,0.0,1
318,hemorrhage,-0.04561019688844681,-0.014500992372632027,0.03110920451581478,1
319,holidays,0.03988955542445183,0.0613793209195137,0.021489765495061874,4
320,rotating,0.023507680743932724,0.009731080383062363,-0.013776599429547787,3
321,intercepted,-0.029382407665252686,-0.03462595120072365,-0.005243543069809675,16
322,tribute,0.09749164432287216,0.09264587610960007,-0.004845768678933382,3
323,flimsy,-0.04879315197467804,0.02233785204589367,0.07113100588321686,5
324,tariff,0.013554190285503864,0.017819292843341827,0.004265102557837963,19
325,hunt,0.031789422035217285,0.034176088869571686,0.0023866670671850443,70
326,issuers,-0.003896089270710945,0.01781201735138893,0.021708106622099876,11
327,bailments,0.0,0.0,0.0,3
328,stephanopoulos,-0.0040951743721961975,0.014345910400152206,0.018441084772348404,2
329,crepps,0.0,0.0,0.0,3
330,hist,-0.038685865700244904,-0.05066283792257309,-0.011976972222328186,1
331,beaudreaux,0.0,0.0,0.0,37
332,preparing,0.03444802761077881,0.07174427807331085,0.03729625046253204,27
333,spanned,0.014560389332473278,-0.010998873971402645,-0.025559263303875923,2
334,lhc,9.205681271851063e-05,-0.0026755633298307657,-0.0027676201425492764,1
335,skips,-0.04802921414375305,-0.01292591355741024,0.03510330244898796,1
336,prerequisites,0.011079935356974602,0.0270298533141613,0.0159499179571867,23
337,gratz,-0.023545682430267334,-0.035692691802978516,-0.012147008441388607,9
338,adhering,0.0015269219875335693,0.04810403659939766,0.04657711461186409,25
339,mezei,-0.04860977455973625,-0.07024484127759933,-0.021635066717863083,7
340,misjudged,-0.051240913569927216,0.015480739995837212,0.06672165542840958,2
341,musical,0.1114245057106018,0.0922064259648323,-0.0192180834710598,4
342,tearing,-0.04768312722444534,0.022859198972582817,0.07054232805967331,1
343,deputized,-0.036818727850914,-0.023493191227316856,0.013325536623597145,2
344,embedding,-0.02237600088119507,-0.0019976021721959114,0.020378397777676582,2
345,reichle,-0.05044844001531601,-0.07733472436666489,-0.026886284351348877,28
346,hoppe,-0.022006331011652946,-0.022576242685317993,-0.0005699123721569777,1
347,luggage,-0.013252601027488708,0.01004069298505783,0.02329329401254654,2
348,standing,0.04750346392393112,0.09301229566335678,0.04550883173942566,497
349,ssue,0.0,0.0,0.0,3
350,indulges,-0.03272034227848053,0.025480281561613083,0.05820062384009361,2
351,lapchick,-0.020354285836219788,-0.03001784160733223,-0.009663554839789867,1
352,olanders,0.0,0.0,0.0,67
353,carriages,-0.013667537830770016,-0.01131318137049675,0.002354356227442622,2
354,supplanted,-0.020211227238178253,-0.003856015857309103,0.016355210915207863,1
355,outflow,-0.004716971423476934,0.004273684229701757,0.008990655653178692,2
356,barnwell,-0.04657263308763504,-0.06863311678171158,-0.022060485556721687,1
357,flagrant,-0.07075933367013931,0.012249761261045933,0.08300909399986267,16
358,hinders,-0.04480060189962387,0.03932718187570572,0.08412778377532959,6
359,bashful,-0.03274499997496605,0.04459140822291374,0.07733640819787979,1
360,deere,-0.001000693067908287,-0.026125390082597733,-0.025124697014689445,2
361,etitioners,0.0,0.0,0.0,1
362,lets,0.04230687394738197,0.09541229158639908,0.053105417639017105,10
363,eastlake,-0.01396225206553936,-0.032253336161375046,-0.018291084095835686,1
364,alfonso,0.012993419542908669,-0.0034626107662916183,-0.016456030309200287,2
365,looseness,-0.03240615129470825,0.018566017970442772,0.05097217112779617,1
366,tutt,-0.030842676758766174,-0.04357212781906128,-0.01272945199161768,2
367,barnadiston,0.0,0.0,0.0,1
368,utomobile,0.0,0.0,0.0,4
369,urchased,0.0,0.0,0.0,1
370,larouche,-0.03012933023273945,-0.03694473206996918,-0.006815401837229729,1
371,bose,0.0029013613238930702,-0.011753474362194538,-0.014654835686087608,2
372,barrentine,0.0,0.0,0.0,5
373,thrice,-0.016014277935028076,0.0037922533228993416,0.019806532189249992,2
374,ramspeck,0.0,0.0,0.0,2
375,successor,0.05301082134246826,0.04282534867525101,-0.010185474529862404,9
376,pd,-0.031920596957206726,-0.05149092897772789,-0.019570333883166313,1
377,repair,0.006854567676782608,0.025534553453326225,0.018679985776543617,46
378,preponderance,-0.022443752735853195,0.03240179643034935,0.054845549166202545,30
379,sordid,-0.06023029983043671,0.03289327025413513,0.09312357008457184,7
380,alstyne,-0.04404054582118988,-0.04765629768371582,-0.0036157516296952963,6
381,houghton,0.016597313806414604,-0.020551474764943123,-0.03714878857135773,2
382,linde,-0.02726551704108715,-0.047710854560136795,-0.020445337519049644,3
383,overnments,0.0,0.0,0.0,1
384,talent,0.10635895282030106,0.1202073022723198,0.013848348520696163,2
385,premade,-0.02462437003850937,-0.02052047848701477,0.004103891085833311,1
386,bloodbath,-0.07192197442054749,-0.0033881524577736855,0.06853382289409637,1
387,rowley,-0.010309625416994095,-0.029119528830051422,-0.018809903413057327,38
388,embraced,0.07820393890142441,0.12300314754247665,0.044799208641052246,31
389,townships,-0.027122002094984055,-0.03256111964583397,-0.00543911661952734,1
390,medina,-0.005311649292707443,-0.02394571155309677,-0.018634062260389328,25
391,anticompetitively,0.0,0.0,0.0,1
392,tamper,-0.03213862329721451,0.020133331418037415,0.05227195471525192,3
393,wariness,-0.025296933948993683,0.04821920394897461,0.07351613789796829,2
394,dooms,-0.03924039006233215,0.00869358517229557,0.047933973371982574,4
395,frogs,0.00908995233476162,0.021060079336166382,0.011970127001404762,2
396,debunking,-0.026809506118297577,0.022002842277288437,0.048812348395586014,2
397,massive,-0.0023786798119544983,0.05249059572815895,0.05486927554011345,28
398,prenuptial,-0.007511341944336891,0.015091290697455406,0.022602632641792297,1
399,dudenhoeffer,-0.028031248599290848,-0.04432375729084015,-0.0162925086915493,1
400,ption,0.0,0.0,0.0,4
401,ainsworth,-4.7730281949043274e-05,-0.02939733676612377,-0.02934960648417473,1
402,shaping,0.04330994188785553,0.07824111729860306,0.03493117541074753,4
